%Data from Page 7-15 of NIST Properties of Copper and Copper Alloys at Cryogenic Temperatures https://nvlpubs.nist.gov/nistpubs/Legacy/MONO/nistmonograph177.pdf	
%"Correlations only verified for RRR 19-1800! May not be valid for RRR 16, though probably pretty close?"	
%
%T (K)	Cp (J/kg-K)
4	0.111567131
5	0.148963944
6	0.212851066
7	0.307701458
8	0.440317088
9	0.618506027
10	0.850550296
11	1.144877661
12	1.50981313
13	1.953378232
14	2.483128508
15	3.106025249
16	3.828338623
17	4.655579286
18	5.592455343
19	6.642851338
20	7.809825967
21	9.095625313
22	10.50170861
23	12.0287838
24	13.67685052
25	15.44524836
26	17.33270852
27	19.33740754
28	21.45702163
29	23.68878072
30	26.02952132
31	28.47573765
32	31.02363046
33	33.66915335
34	36.40805613
35	39.23592532
36	42.14822159
37	45.14031408
38	48.20751185
39	51.34509233
40	54.54832693
41	57.81250408
42	61.13294961
43	64.50504478
44	67.92424211
45	71.38607906
46	74.88618986
47	78.4203155
48	81.98431213
49	85.57415799
50	89.18595895
51	92.8159529
52	96.46051296
53	100.1161498
54	103.7795128
55	107.4473911
56	111.1167131
57	114.7845458
58	118.4480938
59	122.1046975
60	125.7518306
61	129.3870985
62	133.0082346
63	136.6130981
64	140.1996704
65	143.7660517
66	147.310458
67	150.831217
68	154.3267648
69	157.795642
70	161.2364902
71	164.6480481
72	168.0291482
73	171.3787126
74	174.6957495
75	177.9793501
76	181.2286843
77	184.4429981
78	187.6216096
79	190.7639057
80	193.8693395
81	196.9374263
82	199.9677415
83	202.9599169
84	205.913638
85	208.8286416
86	211.7047129
87	214.5416829
88	217.3394257
89	220.0978566
90	222.8169296
91	225.4966351
92	228.1369978
93	230.7380746
94	233.2999531
95	235.822749
96	238.3066049
97	240.7516884
98	243.1581905
99	245.5263238
100	247.8563215
101	250.1484355
102	252.4029353
103	254.6201065
104	256.8002501
105	258.9436805
106	261.0507252
107	263.1217232
108	265.1570241
109	267.1569876
110	269.1219817
111	271.0523829
112	272.9485745
113	274.8109463
114	276.6398938
115	278.4358174
116	280.1991219
117	281.9302157
118	283.6295106
119	285.2974206
120	286.9343621
121	288.5407529
122	290.1170119
123	291.663559
124	293.180814
125	294.6691969
126	296.1291272
127	297.5610235
128	298.9653036
129	300.3423836
130	301.6926781
131	303.0166001
132	304.31456
133	305.5869661
134	306.8342242
135	308.0567373
136	309.2549054
137	310.4291257
138	311.5797919
139	312.7072945
140	313.8120205
141	314.8943534
142	315.9546729
143	316.9933549
144	318.0107716
145	319.007291
146	319.9832775
147	320.9390911
148	321.8750878
149	322.7916194
150	323.6890336
151	324.5676738
152	325.4278792
153	326.2699846
154	327.0943206
155	327.9012136
156	328.6909856
157	329.4639542
158	330.2204327
159	330.9607303
160	331.6851518
161	332.3939975
162	333.0875638
163	333.7661427
164	334.4300217
165	335.0794845
166	335.7148104
167	336.3362747
168	336.9441483
169	337.5386982
170	338.1201873
171	338.6888745
172	339.2450147
173	339.7888587
174	340.3206536
175	340.8406424
176	341.3490644
177	341.846155
178	342.332146
179	342.8072652
180	343.2717371
181	343.7257821
182	344.1696173
183	344.6034563
184	345.0275091
185	345.4419821
186	345.8470785
187	346.2429979
188	346.6299369
189	347.0080885
190	347.3776425
191	347.7387857
192	348.0917016
193	348.4365706
194	348.77357
195	349.1028743
196	349.4246546
197	349.7390795
198	350.0463145
199	350.3465223
200	350.6398628
201	350.926493
202	351.2065674
203	351.4802378
204	351.7476531
205	352.00896
206	352.2643024
207	352.5138216
208	352.7576567
209	352.9959442
210	353.2288182
211	353.4564105
212	353.6788505
213	353.8962655
214	354.1087803
215	354.3165177
216	354.5195983
217	354.7181404
218	354.9122605
219	355.1020727
220	355.2876893
221	355.4692206
222	355.6467749
223	355.8204584
224	355.9903757
225	356.1566294
226	356.3193203
227	356.4785472
228	356.6344075
229	356.7869966
230	356.9364082
231	357.0827344
232	357.2260657
233	357.3664909
234	357.5040972
235	357.6389703
236	357.7711942
237	357.9008517
238	358.0280238
239	358.1527902
240	358.2752291
241	358.3954174
242	358.5134306
243	358.6293427
244	358.7432265
245	358.8551534
246	358.9651937
247	359.0734163
248	359.1798888
249	359.2846776
250	359.3878481
251	359.4894643
252	359.5895891
253	359.6882844
254	359.7856107
255	359.8816278
256	359.9763942
257	360.0699672
258	360.1624034
259	360.2537581
260	360.3440857
261	360.4334398
262	360.5218728
263	360.6094362
264	360.6961806
265	360.7821558
266	360.8674105
267	360.9519926
268	361.0359493
269	361.1193267
270	361.2021703
271	361.2845246
272	361.3664334
273	361.4479396
274	361.5290856
275	361.6099128
276	361.6904618
277	361.7707727
278	361.8508848
279	361.9308366
280	362.010666
281	362.0904102
282	362.1701058
283	362.2497887
284	362.329494
285	362.4092564
286	362.4891099
287	362.569088
288	362.6492233
289	362.7295482
290	362.8100942
291	362.8908924
292	362.9719734
293	363.0533672
294	363.1351032
295	363.2172103
296	363.299717
297	363.3826512
298	363.4660403
299	363.5499112
300	363.6342905
