%T (K)	r_RRR10	        r_RRR15	        r_RRR16	        r_RRR25	        r_RRR50	        r_RRR100	r_RRR200	r_RRR300
4	63.07054583	94.62732	100.9350711	157.7005419	315.3408431	630.4310934	1259.81728	1888.10679
5	78.77497473	118.2678664	126.1502585	197.0793787	393.9845172	787.2448009	1571.474786	2352.551305
6	94.34088719	141.8875449	151.3416355	236.3989084	472.3831208	943.0449267	1878.944969	2807.414925
7	109.5899182	165.4728882	176.4938386	275.6209198	550.3794225	1097.186897	2179.61382	3246.830796
8	124.2031295	189.0058941	201.5863345	314.6944316	627.7646852	1248.823829	2470.121125	3663.427991
9	137.6704392	212.4635119	226.5928388	353.5543546	704.2744045	1396.899381	2746.413659	4048.625919
10	157.3895285	235.8171864	251.4808044	392.1203922	779.5857943	1540.153572	3003.888853	4393.187989
11	172.9680298	259.0324725	276.2109926	430.29624	853.3174843	1677.14453	3237.637456	4688.017422
12	188.467888	282.0687326	300.7371459	467.9691523	925.0319159	1806.288408	3442.77832	4925.111404
13	203.8682167	304.8789361	325.0057822	505.0099502	994.240884	1925.918273	3614.857908	5098.523772
14	219.1451068	327.4095785	348.9561343	541.2735503	1060.414564	2034.360576	3750.266433	5205.149555
15	234.2715736	349.6007407	372.5202569	576.6000837	1122.994167	2130.025109	3846.608529	5245.160938
16	249.2175548	371.3863074	395.6233256	610.8166654	1181.408107	2211.501559	3902.965682	5221.99769
17	263.949965	392.6943638	418.1841472	643.7398519	1235.091204	2277.653521	3920.003257	5141.922943
18	278.4328155	413.4477853	440.115901	675.178797	1283.50611	2327.699761	3899.904029	5013.257245
19	292.6274033	433.5650348	461.3271211	704.9390779	1326.165782	2361.273112	3846.144213	4845.463287
20	306.4925794	452.9611714	481.7229278	732.8271247	1362.65556	2378.449796	3763.156745	4648.256054
21	319.9850995	471.5490754	501.2065036	758.6551392	1392.653262	2379.745725	3655.941898	4430.869193
22	333.0600636	489.2408792	519.6808016	782.2463451	1415.94573	2366.080793	3529.684847	4201.543787
23	345.6714458	505.9495883	537.0504593	803.4403648	1432.44047	2338.71634	3389.426602	3967.245635
24	357.7727156	521.5908616	553.2238767	822.0984846	1442.171402	2299.173953	3239.815322	3733.57638
25	369.3175443	536.0849066	568.1154014	838.1085416	1445.298231	2249.145221	3084.945709	3504.825318
26	380.2605877	549.3584337	581.6475482	851.389161	1442.09953	2190.401776	2928.279463	3284.107714
27	390.5583302	561.3465969	593.7531659	861.8930886	1432.960183	2124.713373	2772.631169	3073.544515
28	400.1699684	571.9948424	604.3774563	869.6093987	1418.354295	2053.779388	2620.200933	2874.451037
29	409.0583078	581.2605803	613.4797481	874.5644228	1398.825001	1979.176537	2472.636088	2687.514346
30	417.1906427	589.1145941	621.0349293	876.8213235	1374.962738	1902.323335	2331.10735	2512.948718
31	424.5395833	595.5421132	627.0344587	876.4783253	1347.383518	1824.460035	2196.388704	2350.625278
32	431.0837982	600.5434841	631.4868922	873.6657068	1316.708514	1746.641722	2068.93392	2200.176099
33	436.8086355	604.1343985	634.4178873	868.5417379	1283.546013	1669.741677	1948.945588	2061.075252
34	441.7065948	606.3456599	635.86968	861.2878081	1248.476406	1594.462142	1836.434783	1932.700267
35	445.7776249	607.2224942	635.9000552	852.1030319	1212.040553	1521.349826	1731.270953	1814.377574
36	449.0292311	606.8234386	634.5808638	841.1986288	1174.731554	1450.813987	1633.222524	1705.415283
37	451.4763847	605.2188648	631.9961639	828.7923621	1136.989707	1383.145365	1541.98919	1605.126155
38	453.1412371	602.4892096	628.2400795	815.1032885	1099.200271	1318.534763	1457.227086	1512.843163
39	454.0526508	598.7230013	623.4144815	800.3470184	1061.69356	1257.090451	1378.568005	1427.929524
40	454.2455675	594.0147729	617.6265997	784.7316333	1024.746859	1198.853922	1305.633788	1349.784688
41	453.7602425	588.4629533	610.986665	768.4543419	988.5876648	1143.813765	1238.046855	1277.847437
42	452.6413767	582.1678209	603.605673	751.6989085	953.3978172	1091.917621	1175.437702	1211.596935
43	450.9371846	575.2295905	595.5933413	734.6338331	919.3181279	1043.082278	1117.450053	1150.552378
44	448.6984328	567.7466906	587.0563157	717.4112326	886.4532139	997.2020691	1063.744232	1094.271712
45	445.977485	559.8142717	578.0966591	700.1663415	854.8762946	954.1557296	1013.999176	1042.349766
46	442.8273847	551.5229682	568.8106401	683.0175396	824.6337846	913.8119331	967.9134673	994.4160353
47	439.3010021	542.9579233	559.2878196	666.0668063	795.7495709	876.0336826	925.2056252	950.1323057
48	435.4502653	534.198071	549.610423	649.4005026	768.2289057	840.6817434	885.6138918	909.1902203
49	431.3254911	525.3156607	539.8529722	633.0903909	742.0618828	807.61728	848.8956548	871.3088849
50	426.9748238	516.3760002	530.0821479	617.1948099	717.226493	776.7038395	814.8266347	836.2325588
51	422.4437842	507.4373906	520.3568462	601.7599359	693.6912698	747.808806	783.1999233	803.728466
52	417.7749284	498.5512202	510.7283948	586.8210751	671.4175517	720.8044307	753.8249403	773.5847447
53	413.0076091	489.7621901	501.2408931	572.4039411	650.3613931	695.5685246	726.5263561	745.6085448
54	408.177832	481.108638	491.9316429	558.5258851	630.4751594	671.9848879	701.1430144	719.6242745
55	403.3181961	472.6229354	482.8316433	545.1970555	611.7088436	649.9435337	677.5268794	695.4719929
56	398.4579065	464.3319338	473.9661207	532.4214714	594.01114	629.3407568	655.5420234	673.0059428
57	393.6228473	456.2574376	465.355077	520.1980016	577.3303086	610.0790831	635.0636638	652.0932165
58	388.8357027	448.416688	457.013835	508.5212454	561.6148619	592.0671346	615.977258	632.6125441
59	384.1161161	440.8228433	448.9535721	497.3823156	546.8141004	575.2194306	598.1776562	614.4531974
60	379.4808748	433.4854455	441.1818282	486.7695286	532.8785235	559.4561481	581.5683154	597.5139972
61	374.9441143	426.4108639	433.7029842	476.6690045	519.7601354	544.7028537	566.0605715	581.7024185
62	370.5175316	419.6027125	426.5187055	467.0651859	507.4126655	530.8902201	551.5729692	566.933781
63	366.2106027	413.0622354	419.6283472	457.9412815	495.7917191	517.9537356	538.0306453	553.1305205
64	362.0307985	406.7886599	413.0293224	449.2796426	484.8548717	505.8334134	525.3647647	540.2215312
65	357.9837952	400.7795162	406.7174313	441.062079	474.5617176	494.4735054	513.5120027	528.1415724
66	354.0736753	395.0309241	400.6871546	433.2701223	464.8738839	483.8222242	502.4140734	516.8307338
67	350.3031185	389.5378485	394.9319124	425.885243	455.7550156	473.8314756	492.0172982	506.2339538
68	346.673579	384.2943243	389.44429	418.8890271	447.1707402	464.4566037	482.2722129	496.3005837
69	343.1854502	379.2936536	384.2162345	412.263318	439.0886154	455.6561483	473.133209	486.9839956
70	339.8382154	374.5285777	379.2392245	405.9903292	431.4780664	447.3916173	464.5582076	478.2412273
71	336.6305841	369.9914247	374.5044145	400.0527316	424.3103133	439.627272	456.5083621	470.032662
72	333.5606159	365.6742366	370.0027584	394.4337192	417.5582945	432.3299261	448.9477866	462.3217387
73	330.6258308	361.568877	365.725113	389.1170576	411.1965858	425.4687587	441.8433101	455.0746896
74	327.8233071	357.6671227	361.6623244	384.087117	405.2013193	419.0151394	435.1642512	448.2603029
75	325.1497687	353.9607393	357.8052997	379.3288933	399.5501007	412.9424662	428.8822131	441.8497075
76	322.601661	350.4415448	354.1450651	374.8280193	394.2219291	407.2260149	422.9708975	435.8161777
77	320.1752179	347.101461	350.6728136	370.5707669	389.1971174	401.8427995	417.4059339	430.1349559
78	317.8665191	343.9325557	347.3799415	366.5440438	384.4572161	396.7714431	412.1647245	424.7830918
79	315.6715401	340.9270757	344.2580785	362.735384	379.9849388	391.9920582	407.2263023	419.7392953
80	313.5861953	338.0774732	341.2991087	359.1329346	375.7640918	387.4861362	402.5712018	414.9838037
81	311.6063736	335.3764251	338.4951869	355.7254399	371.7795064	383.2364454	398.1813403	410.4982599
82	309.7279698	332.8168478	335.8387493	352.5022222	368.0169744	379.2269367	394.0399105	406.2656013
83	307.9469098	330.391907	333.3225201	349.4531615	364.4631879	375.4426562	390.131281	402.2699592
84	306.2591719	328.0950239	330.9395148	346.5686745	361.1056809	371.8696651	386.4409056	398.4965657
85	304.6608046	325.9198784	328.6830398	343.8396917	357.9327759	368.4949656	382.9552411	394.9316699
86	303.1479403	323.8604092	326.5466906	341.2576354	354.9335326	365.3064318	379.6616702	391.5624596
87	301.7168068	321.9108128	324.5243475	338.8143967	352.0976998	362.2927471	376.5484329	388.3769913
88	300.3637356	320.0655393	322.6101699	336.5023135	349.4156708	359.4433453	373.6045615	385.3641247
89	299.085169	318.3192886	320.7985896	334.314148	346.8784409	356.7483571	370.8198224	382.513463
90	297.8776639	316.6670037	319.0843029	332.2430657	344.4775685	354.19856	368.1846621	379.8152988
91	296.7378959	315.1038644	317.4622623	330.2826142	342.2051376	351.7853322	365.6901571	377.260563
92	295.6626604	313.6252802	315.9276674	328.4267029	340.053724	349.5006104	363.3279686	374.8407789
93	294.6488733	312.2268821	314.4759558	326.6695837	338.0163627	347.3368504	361.0903004	372.5480198
94	293.6935713	310.9045152	313.1027937	325.0058325	336.0865178	345.2869906	358.9698597	370.3748694
95	292.79391	309.6542295	311.8040663	323.4303308	334.2580549	343.3444186	356.9598219	368.3143858
96	291.9471629	308.4722727	310.5758685	321.9382493	332.5252144	341.50294	355.0537975	366.3600682
97	291.150719	307.355081	309.4144955	320.5250312	330.8825874	339.7567498	353.2458012	364.5058261
98	290.4020801	306.2992714	308.3164338	319.1863768	329.325093	338.1004053	351.5302246	362.7459509
99	289.6988581	305.3016333	307.2783519	317.9182292	327.8479569	336.5288021	349.9018095	361.0750895
100	289.0387715	304.3591206	306.2970916	316.7167598	326.4466916	335.0371507	348.3556242	359.4882202
101	288.4196424	303.4688441	305.3696598	315.5783559	325.1170782	333.6209556	346.8870415	357.98063
102	287.839393	302.6280639	304.4932204	314.4996077	323.8551488	332.2759954	345.4917176	356.5478943
103	287.2960417	301.834182	303.6650858	313.4772967	322.6571709	330.9983048	344.1655735	355.1858567
104	286.7877002	301.0847355	302.88271	312.5083847	321.519632	329.7841577	342.9047772	353.8906121
105	286.312569	300.3773897	302.143681	311.5900035	320.4392259	328.6300512	341.7057272	352.6584897
106	285.8689348	299.7099316	301.445714	310.7194447	319.4128397	327.5326913	340.5650376	351.4860374
107	285.455166	299.0802638	300.7866446	309.8941506	318.4375415	326.4889792	339.4795238	350.3700081
