%T(K)	B(T)	RRR	rho(ohm*m)
0	0	100	1.56869E-10
20	0	100	1.65069E-10
40	0	100	3.78169E-10
60	0	100	1.13887E-09
80	0	100	2.33097E-09
100	0	100	3.71197E-09
120	0	100	5.14837E-09
140	0	100	6.58607E-09
160	0	100	8.00647E-09
180	0	100	9.40517E-09
200	0	100	1.07829E-08
220	0	100	1.21419E-08
240	0	100	1.34848E-08
260	0	100	1.4814E-08
280	0	100	1.61316E-08
300	0	100	1.74395E-08
320	0	100	1.8739E-08
340	0	100	2.00314E-08
360	0	100	2.13177E-08
380	0	100	2.25988E-08
400	0	100	2.38752E-08
420	0	100	2.51477E-08
440	0	100	2.64168E-08
460	0	100	2.76828E-08
0	1	100	2.03988E-10
20	1	100	2.12192E-10
40	1	100	4.25343E-10
60	1	100	1.18607E-09
80	1	100	2.37818E-09
100	1	100	3.75918E-09
120	1	100	5.19558E-09
140	1	100	6.63328E-09
160	1	100	8.05368E-09
180	1	100	9.45238E-09
200	1	100	1.08301E-08
220	1	100	1.21891E-08
240	1	100	1.3532E-08
260	1	100	1.48612E-08
280	1	100	1.61788E-08
300	1	100	1.74867E-08
320	1	100	1.87862E-08
340	1	100	2.00786E-08
360	1	100	2.13649E-08
380	1	100	2.2646E-08
400	1	100	2.39224E-08
420	1	100	2.51949E-08
440	1	100	2.6464E-08
460	1	100	2.773E-08
0	2	100	2.50919E-10
20	2	100	2.59138E-10
40	2	100	4.72439E-10
60	2	100	1.23324E-09
80	2	100	2.42537E-09
100	2	100	3.80638E-09
120	2	100	5.24278E-09
140	2	100	6.68049E-09
160	2	100	8.10089E-09
180	2	100	9.49959E-09
200	2	100	1.08773E-08
220	2	100	1.22363E-08
240	2	100	1.35792E-08
260	2	100	1.49084E-08
280	2	100	1.6226E-08
300	2	100	1.75339E-08
320	2	100	1.88334E-08
340	2	100	2.01258E-08
360	2	100	2.14121E-08
380	2	100	2.26932E-08
400	2	100	2.39696E-08
420	2	100	2.52421E-08
440	2	100	2.65112E-08
460	2	100	2.77772E-08
0	3	100	2.97663E-10
20	3	100	3.05905E-10
40	3	100	5.19457E-10
60	3	100	1.28039E-09
80	3	100	2.47255E-09
100	3	100	3.85357E-09
120	3	100	5.28998E-09
140	3	100	6.72769E-09
160	3	100	8.14809E-09
180	3	100	9.54679E-09
200	3	100	1.09245E-08
220	3	100	1.22835E-08
240	3	100	1.36264E-08
260	3	100	1.49556E-08
280	3	100	1.62732E-08
300	3	100	1.75811E-08
320	3	100	1.88806E-08
340	3	100	2.0173E-08
360	3	100	2.14593E-08
380	3	100	2.27404E-08
400	3	100	2.40168E-08
420	3	100	2.52893E-08
440	3	100	2.65584E-08
460	3	100	2.78244E-08
0	4	100	3.44219E-10
20	4	100	3.52493E-10
40	4	100	5.66398E-10
60	4	100	1.32751E-09
80	4	100	2.51972E-09
100	4	100	3.90076E-09
120	4	100	5.33717E-09
140	4	100	6.77488E-09
160	4	100	8.19529E-09
180	4	100	9.594E-09
200	4	100	1.09717E-08
220	4	100	1.23307E-08
240	4	100	1.36736E-08
260	4	100	1.50028E-08
280	4	100	1.63204E-08
300	4	100	1.76283E-08
320	4	100	1.89278E-08
340	4	100	2.02202E-08
360	4	100	2.15065E-08
380	4	100	2.27876E-08
400	4	100	2.4064E-08
420	4	100	2.53365E-08
440	4	100	2.66056E-08
460	4	100	2.78716E-08
0	5	100	3.90587E-10
20	5	100	3.98903E-10
40	5	100	6.1326E-10
60	5	100	1.37461E-09
80	5	100	2.56688E-09
100	5	100	3.94793E-09
120	5	100	5.38436E-09
140	5	100	6.82208E-09
160	5	100	8.24249E-09
180	5	100	9.64119E-09
200	5	100	1.10189E-08
220	5	100	1.23779E-08
240	5	100	1.37208E-08
260	5	100	1.505E-08
280	5	100	1.63676E-08
300	5	100	1.76755E-08
320	5	100	1.8975E-08
340	5	100	2.02674E-08
360	5	100	2.15537E-08
380	5	100	2.28348E-08
400	5	100	2.41112E-08
420	5	100	2.53837E-08
440	5	100	2.66528E-08
460	5	100	2.79188E-08
0	6	100	4.36767E-10
20	6	100	4.45135E-10
40	6	100	6.60045E-10
60	6	100	1.42168E-09
80	6	100	2.61402E-09
100	6	100	3.9951E-09
120	6	100	5.43154E-09
140	6	100	6.86927E-09
160	6	100	8.28968E-09
180	6	100	9.68839E-09
200	6	100	1.10661E-08
220	6	100	1.24251E-08
240	6	100	1.3768E-08
260	6	100	1.50972E-08
280	6	100	1.64148E-08
300	6	100	1.77227E-08
320	6	100	1.90222E-08
340	6	100	2.03146E-08
360	6	100	2.16009E-08
380	6	100	2.2882E-08
400	6	100	2.41584E-08
420	6	100	2.54309E-08
440	6	100	2.67E-08
460	6	100	2.7966E-08
0	7	100	4.82759E-10
20	7	100	4.91188E-10
40	7	100	7.06751E-10
60	7	100	1.46873E-09
80	7	100	2.66115E-09
100	7	100	4.04227E-09
120	7	100	5.47872E-09
140	7	100	6.91645E-09
160	7	100	8.33687E-09
180	7	100	9.73558E-09
200	7	100	1.11133E-08
220	7	100	1.24723E-08
240	7	100	1.38152E-08
260	7	100	1.51444E-08
280	7	100	1.6462E-08
300	7	100	1.77699E-08
320	7	100	1.90694E-08
340	7	100	2.03618E-08
360	7	100	2.16481E-08
380	7	100	2.29292E-08
400	7	100	2.42056E-08
420	7	100	2.54781E-08
440	7	100	2.67472E-08
460	7	100	2.80132E-08
0	8	100	5.28564E-10
20	8	100	5.37063E-10
40	8	100	7.5338E-10
60	8	100	1.51575E-09
80	8	100	2.70827E-09
100	8	100	4.08942E-09
120	8	100	5.52589E-09
140	8	100	6.96363E-09
160	8	100	8.38405E-09
180	8	100	9.78277E-09
200	8	100	1.11605E-08
220	8	100	1.25195E-08
240	8	100	1.38624E-08
260	8	100	1.51916E-08
280	8	100	1.65092E-08
300	8	100	1.78171E-08
320	8	100	1.91166E-08
340	8	100	2.0409E-08
360	8	100	2.16953E-08
380	8	100	2.29764E-08
400	8	100	2.42528E-08
420	8	100	2.55253E-08
440	8	100	2.67944E-08
460	8	100	2.80604E-08
0	9	100	5.74181E-10
20	9	100	5.82759E-10
40	9	100	7.99931E-10
60	9	100	1.56274E-09
80	9	100	2.75537E-09
100	9	100	4.13656E-09
120	9	100	5.57305E-09
140	9	100	7.0108E-09
160	9	100	8.43124E-09
180	9	100	9.82996E-09
200	9	100	1.12077E-08
220	9	100	1.25667E-08
240	9	100	1.39096E-08
260	9	100	1.52388E-08
280	9	100	1.65564E-08
300	9	100	1.78643E-08
320	9	100	1.91638E-08
