%T (K)	K (W/mK)	Cp (J/kgK)
4	0.272396189	2.065985685
5	0.366253229	2.311482526
6	0.465322086	2.857585216
7	0.56904718	3.472577717
8	0.676980305	4.086832983
9	0.788713273	4.685385397
10	0.903857571	5.275298026
11	1.022039346	5.870855123
12	1.142899249	6.487166192
13	1.26609356	7.137881509
14	1.391295377	7.834697245
15	1.518195493	8.587519616
16	1.646502891	9.404798879
17	1.77594489	10.29384864
18	1.90626701	11.26109656
19	2.037232617	12.31226275
20	2.168622406	13.45247806
21	2.300233769	14.6863574
22	2.431880081	16.01804104
23	2.563389943	17.45121442
24	2.694606388	18.98911419
25	2.825386087	20.634526
26	2.955598554	22.38977826
27	3.08512536	24.25673452
28	3.213859373	26.23678661
29	3.341704023	28.33084977
30	3.468572587	30.53936071
31	3.594387521	32.86227917
32	3.719079806	35.29909306
33	3.842588344	37.84882743
34	3.964859372	40.51005714
35	4.085845923	43.28092295
36	4.205507308	46.15915079
37	4.323808635	49.14207393
38	4.440720356	52.2266576
39	4.556217846	55.40952568
40	4.670281	58.68698906
41	4.782893873	62.05507526
42	4.894044328	65.50955896
43	5.003723715	69.04599292
44	5.111926578	72.65973916
45	5.21865037	76.34599988
46	5.323895198	80.09984792
47	5.427663584	83.91625651
48	5.529960238	87.79012798
49	5.630791859	91.71632135
50	5.730166936	95.6896786
51	5.828095579	99.70504943
52	5.924589349	103.7573145
53	6.01966111	107.841407
54	6.113324888	111.9523324
55	6.205595744	116.0851869
56	6.296489652	120.2351733
57	6.386023393	124.3976162
58	6.474214451	128.567975
59	6.561080922	132.7418547
60	6.646641427	136.9150163
61	6.730915034	141.0833844
62	6.813921186	145.2430547
63	6.895679638	149.3902985
64	6.976210389	153.5215675
65	7.055533634	157.6334964
66	7.133669709	161.7229044
67	7.210639046	165.7867961
68	7.286462132	169.8223613
69	7.361159468	173.8269739
70	7.434751536	177.7981895
71	7.507258768	181.7337434
72	7.578701514	185.631547
73	7.64910002	189.4896841
74	7.718474401	193.3064067
75	7.786844625	197.0801301
76	7.854230488	200.809428
77	7.920651602	204.4930274
78	7.986127377	208.1298029
79	8.05067701	211.7187705
80	8.114319471	215.2590828
81	8.177073496	218.750022
82	8.238957574	222.1909946
83	8.299989943	225.5815249
84	8.360188581	228.9212495
85	8.419571201	232.2099109
86	8.478155247	235.4473518
87	8.535957891	238.6335092
88	8.592996028	241.7684091
89	8.649286274	244.8521602
90	8.704844967	247.8849491
91	8.759688164	250.8670348
92	8.813831639	253.7987437
93	8.867290887	256.6804642
94	8.920081122	259.5126427
95	8.972217279	262.2957781
96	9.023714013	265.0304181
97	9.074585704	267.7171548
98	9.124846458	270.3566204
99	9.174510108	272.9494836
100	9.223590217	275.4964456
101	9.27210008	277.998237
102	9.320052731	280.4556144
103	9.367460939	282.8693568
104	9.414337217	285.2402633
105	9.460693824	287.5691496
106	9.506542766	289.856846
107	9.551895803	292.1041944
108	9.59676445	294.3120462
109	9.641159983	296.48126
110	9.685093439	298.6126998
111	9.728575624	300.7072325
112	9.771617116	302.7657268
113	9.814228266	304.7890511
114	9.856419204	306.7780722
115	9.898199843	308.7336535
116	9.939579882	310.656654
117	9.980568813	312.5479271
118	10.02117592	314.4083194
119	10.06141028	316.2386695
120	10.10128078	318.0398073
121	10.14079611	319.812553
122	10.17996477	321.5577163
123	10.21879507	323.2760961
124	10.25729514	324.968479
125	10.29547293	326.6356398
126	10.33333622	328.2783402
127	10.37089259	329.8973285
128	10.40814949	331.4933396
129	10.44511418	333.0670942
130	10.48179376	334.6192988
131	10.51819518	336.1506452
132	10.55432524	337.6618105
133	10.59019056	339.1534569
134	10.62579764	340.6262314
135	10.66115282	342.080766
136	10.6962623	343.5176774
137	10.73113214	344.9375668
138	10.76576827	346.3410203
139	10.80017648	347.7286088
140	10.83436242	349.1008878
141	10.86833163	350.4583974
142	10.90208952	351.8016629
143	10.93564136	353.1311943
144	10.96899232	354.4474868
145	11.00214745	355.7510207
146	11.03511168	357.0422614
147	11.06788983	358.32166
148	11.10048661	359.5896531
149	11.13290662	360.8466628
150	11.16515436	362.0930975
151	11.19723422	363.3293513
152	11.2291505	364.5558048
153	11.26090739	365.7728249
154	11.29250899	366.980765
155	11.32395932	368.1799657
156	11.35526227	369.3707542
157	11.38642169	370.5534452
158	11.41744129	371.7283406
159	11.44832474	372.89573
160	11.4790756	374.0558908
161	11.50969735	375.2090885
162	11.54019339	376.3555767
163	11.57056706	377.4955975
164	11.6008216	378.6293815
165	11.63096018	379.7571483
166	11.66098589	380.8791065
167	11.69090178	381.9954538
168	11.72071079	383.1063774
169	11.75041581	384.2120541
170	11.78001966	385.3126507
171	11.80952511	386.4083237
172	11.83893482	387.49922
173	11.86825145	388.5854769
174	11.89747754	389.6672222
175	11.92661561	390.7445745
176	11.9556681	391.8176432
177	11.98463741	392.8865292
178	12.01352585	393.9513242
179	12.04233572	395.0121116
180	12.07106923	396.0689666
181	12.09972855	397.121956
182	12.1283158	398.1711385
183	12.15683305	399.2165652
184	12.18528232	400.2582792
185	12.21366558	401.2963162
186	12.24198475	402.3307045
187	12.27024171	403.3614652
188	12.29843828	404.3886122
189	12.32657626	405.4121525
190	12.35465738	406.4320862
191	12.38268336	407.448407
192	12.41065583	408.4611017
193	12.43857643	409.470151
194	12.46644674	410.4755292
195	12.49426828	411.4772046
196	12.52204257	412.4751394
197	12.54977107	413.46929
198	12.57745519	414.459607
199	12.60509635	415.4460354
200	12.63269588	416.4285148
201	12.66025511	417.4069793
202	12.68777533	418.3813578
203	12.7152578	419.3515741
204	12.74270373	420.3175469
205	12.77011432	421.2791901
206	12.79749073	422.2364126
207	12.82483409	423.1891189
208	12.8521455	424.1372086
209	12.87942603	425.0805771
210	12.90667672	426.0191153
211	12.93389858	426.9527099
212	12.96109262	427.8812433
213	12.98825977	428.8045941
214	13.01540099	429.7226366
215	13.04251718	430.6352416
216	13.06960921	431.5422758
217	13.09667796	432.4436026
218	13.12372426	433.3390815
219	13.15074891	434.2285688
220	13.17775271	435.1119173
221	13.20473642	435.9889765
222	13.23170079	436.8595928
223	13.25864653	437.7236094
224	13.28557434	438.5808666
225	13.3124849	439.4312018
226	13.33937888	440.2744496
227	13.36625691	441.1104418
228	13.3931196	441.9390076
229	13.41996756	442.7599737
230	13.44680137	443.5731643
231	13.47362159	444.3784013
232	13.50042875	445.1755043
233	13.52722339	445.9642907
234	13.55400602	446.7445759
235	13.58077712	447.5161731
236	13.60753716	448.2788937
237	13.63428661	449.0325474
238	13.6610259	449.776942
239	13.68775546	450.5118837
240	13.7144757	451.2371772
241	13.74118701	451.9526255
242	13.76788977	452.6580304
243	13.79458435	453.3531925
244	13.82127108	454.037911
245	13.84795032	454.711984
246	13.87462238	455.3752087
247	13.90128756	456.0273811
248	13.92794617	456.6682967
249	13.95459847	457.2977499
250	13.98124475	457.9155345
251	14.00788526	458.5214439
252	14.03452023	459.1152707
253	14.0611499	459.6968073
254	14.08777449	460.2658457
255	14.1143942	460.8221775
256	14.14100924	461.3655944
257	14.16761977	461.8958879
258	14.19422599	462.4128496
259	14.22082804	462.916271
260	14.24742608	463.405944
261	14.27402026	463.8816607
262	14.30061069	464.3432136
263	14.3271975	464.7903957
264	14.35378081	465.2230005
265	14.3803607	465.640822
266	14.40693728	466.0436553
267	14.43351062	466.4312959
268	14.46008079	466.8035404
269	14.48664786	467.1601864
270	14.51321188	467.5010325
271	14.53977289	467.8258785
272	14.56633094	468.1345255
273	14.59288604	468.4267759
274	14.61943823	468.7024335
275	14.6459875	468.9613036
276	14.67253387	469.2031932
277	14.69907733	469.4279109
278	14.72561786	469.635267
279	14.75215544	469.8250739
280	14.77869006	469.9971456
281	14.80522166	470.1512985
282	14.83175022	470.2873509
283	14.85827567	470.4051232
284	14.88479797	470.5044384
285	14.91131705	470.5851216
286	14.93783284	470.6470004
287	14.96434526	470.689905
288	14.99085423	470.7136682
289	15.01735965	470.7181254
290	15.04386145	470.7031148
291	15.0703595	470.6684777
292	15.0968537	470.6140579
293	15.12334394	470.5397026
294	15.1498301	470.4452619
295	15.17631205	470.3305891
296	15.20278965	470.1955408
297	15.22926278	470.0399767
298	15.25573128	469.8637603
299	15.28219502	469.6667582
300	15.30865382	469.4488407
