Angle,Temp [K],Field [T],4mm Ic [A],Je [A/mm2]
0,4,3,1116.98,4363.2
0,5,3,1073.99,4195.28
0,6,3,1032.66,4033.82
0,7,3,992.92,3878.58
0,8,3,954.7,3729.31
0,9,3,917.96,3585.79
0,10,3,882.63,3447.78
0,11,3,848.66,3315.1
0,12,3,816,3187.51
0,13,3,784.6,3064.84
0,14,3,754.4,2946.89
0,15,3,725.37,2833.48
0,16,3,697.45,2724.43
0,17,3,670.61,2619.58
0,18,3,644.8,2518.76
0,19,3,619.99,2421.83
0,20,3,596.13,2328.62
0,21,3,573.19,2239.01
0,22,3,551.13,2152.84
0,23,3,529.92,2069.98
0,24,3,509.52,1990.32
0,25,3,489.91,1913.72
0,26,3,471.06,1840.07
0,27,3,452.93,1769.26
0,28,3,435.5,1701.17
0,29,3,418.74,1635.7
0,30,3,402.62,1572.74
0,31,3,387.13,1512.22
0,32,3,372.23,1454.02
0,33,3,357.9,1398.06
0,34,3,344.13,1344.26
0,35,3,330.89,1292.52
0,36,3,318.15,1242.78
0,37,3,305.91,1194.95
0,38,3,294.13,1148.96
0,39,3,282.81,1104.74
0,40,3,271.93,1062.23
0,41,3,261.46,1021.35
0,42,3,251.4,982.04
0,43,3,241.73,944.25
0,44,3,232.42,907.91
0,45,3,223.48,872.97
0,46,3,214.88,839.37
0,47,3,206.61,807.07
0,48,3,198.66,776.01
0,49,3,191.01,746.14
0,50,3,183.66,717.42
0,4,4,968.12,3781.72
0,5,4,930.71,3635.59
0,6,4,894.75,3495.12
0,7,4,860.18,3360.07
0,8,4,826.94,3230.24
0,9,4,794.99,3105.43
0,10,4,764.27,2985.44
0,11,4,734.74,2870.09
0,12,4,706.35,2759.19
0,13,4,679.06,2652.58
0,14,4,652.82,2550.08
0,15,4,627.6,2451.55
0,16,4,603.35,2356.83
0,17,4,580.03,2265.76
0,18,4,557.62,2178.22
0,19,4,536.08,2094.05
0,20,4,515.36,2013.14
0,21,4,495.45,1935.35
0,22,4,476.31,1860.57
0,23,4,457.9,1788.68
0,24,4,440.21,1719.57
0,25,4,423.2,1653.13
0,26,4,406.85,1589.25
0,27,4,391.13,1527.85
0,28,4,376.02,1468.81
0,29,4,361.49,1412.06
0,30,4,347.52,1357.5
0,31,4,334.09,1305.05
0,32,4,321.18,1254.62
